A股涨停板全景报告 — 2026-07-03
生成时间: 2026-07-03 19:50
============================================================

涨停总数: 217 只
连板分布: {'1': 163, '2': 54, '3': 0, '4+': 0}
市场分布: {'创业板': 49, '科创板': 18, '主板': 150}

完整个股清单:
代码       名称               价格       涨幅   连板 归因
002700   万憬能源           6.68  +10.05%    1天 天然气+燃气特许经营+国产气源
002249   大洋电机           8.33  +10.04%    1天 具身智能+机器人电机+新能源汽车电机+电机龙头
002377   国创高新           2.85  +10.04%    1天 改性沥青+回购完成+扭亏为盈
600530   交大昂立           5.70  +10.04%    1天 保健品+宠物经济+增持
603178   圣龙股份          15.68  +10.04%    1天 机器人关节驱动+飞行汽车+泵类龙头
600143   金发科技          17.01  +10.03%    1天 间接持股宇树科技+改性塑料+机器人材料
600592   龙溪股份          16.12  +10.03%    1天 关节轴承+人形机器人+漳州国资
600793   宜宾纸业          16.01  +10.03%    2天 子公司购买资产+醋酸纤维素+竹基新材料+宜宾国资
603013   亚普股份          17.66  +10.03%    1天 混动燃油系统+旋转变压器+一季报增长+央企
603137   恒尚节能          17.22  +10.03%    2天 拟收购存储公司+复牌+建筑幕墙
603165   荣晟环保          14.70  +10.03%    1天 间接投资宇树科技+造纸+光电子芯片
603466   风语筑           11.63  +10.03%    1天 债务重组+具身智能+AI体验经济+数字展示
002664   信质集团          19.88  +10.02%    1天 人形机器人+低空经济+新能源驱动电机
600801   华新建材          18.11  +10.02%    1天 水泥+海外扩张+雅下水电+一季报增长
601069   西部黄金          25.91  +10.02%    1天 黄金+新疆国资+一季报增长
603915   国茂股份          16.03  +10.02%    1天 机器人+精密减速器+Q1业绩增长
605068   明新旭腾          19.11  +10.02%    1天 人形机器人+电子皮肤+汽车内饰
001337   四川黄金          41.21  +10.01%    1天 黄金+金精矿+国企改革
002396   星网锐捷          23.40  +10.01%    1天 数据中心交换机+业绩预增+福建国资
002623   亚玛顿           17.15  +10.01%    1天 玻璃基板+特斯拉概念+光伏玻璃+钙钛矿组件
002715   登云股份          14.73  +10.01%    1天 黄金概念+汽车零部件+气门
002765   蓝黛科技           7.91  +10.01%    1天 减速器+汽车零部件+国企
003028   振邦智能          24.61  +10.01%    1天 机器人+智能控制器+小米汽车
300577   开润股份          16.60  +10.01%    1天 
600580   卧龙电驱          37.35  +10.01%    1天 间接持股宇树+人形机器人+低空经济
600990   四创电子          19.13  +10.01%    1天 低空经济+雷达+商业航天+PCB
601689   拓普集团          62.43  +10.01%    1天 人形机器人+特斯拉产业链+汽车零部件
603211   晋拓股份          35.94  +10.01%    1天 与宇树科技合资+人形机器人+机器人零部件
603338   浙江鼎力          51.67  +10.01%    2天 机器人+电动化+世界杯概念
605189   富春染织          16.05  +10.01%    2天 人形机器人+PEEK材料+业绩增长+筒子纱龙头
000576   甘化科工           8.14  +10.00%    2天 参股锴威特半导体+光电成像+非晶合金+军工
001270   铖昌科技         163.32  +10.00%    1天 商业航天+相控阵T/R芯片+摘帽
001400   江顺科技         125.21  +10.00%    1天 3D打印+商业航天+液冷服务器+铝挤压模具
002353   杰瑞股份         161.46  +10.00%    1天 燃气轮机+北美数据中心+油气装备
002747   埃斯顿           44.77  +10.00%    1天 拟收购酷卓+具身智能+工业机器人
002767   先锋电子          18.04  +10.00%    1天 机器人概念+芯片概念+智慧燃气
002850   科达利          226.16  +10.00%    1天 人形机器人+锂电池结构件+特斯拉
002868   绿康生化          26.28  +10.00%    1天 动物保健+剥离光伏+扭亏为盈
002979   雷赛智能          69.55  +10.00%    2天 2026中报预增+人形机器人+灵巧手
003011   海象新材          20.90  +10.00%    1天 PVC地板出口+员工持股+年报增长
003021   兆威机电         100.80  +10.00%    1天 人形机器人+灵巧手+精密驱动+H股回购
301578   辰奕智能          22.88  +10.00%    1天 
600391   航发科技          35.52  +10.00%    1天 长江系列发动机+燃气轮机+外贸订单+央企
600769   祥龙电业          21.78  +10.00%    1天 存算基地+供水+武汉国资
600841   动力新科           6.71  +10.00%    1天 数据中心+一季报扭亏+上海国资
600988   赤峰黄金          31.23  +10.00%    2天 黄金+紫金矿业入主
601100   恒立液压         121.66  +10.00%    1天 线性驱动器项目+液压油缸+分红
603286   日盈电子          56.96  +10.00%    2天 人形机器人+电子皮肤+北美工厂+传感器
603303   得邦照明          24.76  +10.00%    1天 车载照明+汽车电子+收购嘉利股份
603580   艾艾精工          30.13  +10.00%    2天 摘帽+新能源电池配件+轻型输送带
603713   密尔克卫          79.23  +10.00%    1天 股权激励+半导体物流+化工供应链
605255   天普股份          74.27  +10.00%    1天 中昊芯英入主+澄清借壳+汽车管路
605305   中际联合          45.98  +10.00%    1天 风电+储能消防+一季报增长+股东户数减少
000506   招金黄金          13.87   +9.99%    2天 黄金+一季报扭亏+国企
001268   联合精密          39.40   +9.99%    1天 成飞概念+航空精密零部件+拟定增
001306   夏厦精密          63.29   +9.99%    1天 人形机器人+行星滚柱丝杠+精密减速机
001317   三羊马           48.43   +9.99%    2天 物流+跨境电商+小米汽车
002270   华明装备          20.14   +9.99%    1天 特高压+变压器+机器人概念
002283   天润工业          10.24   +9.99%    1天 机器人+大缸径曲轴+重卡曲轴龙头
002294   信立泰           40.08   +9.99%    1天 创新药+CKM慢病+JK07临床数据
002472   双环传动          47.01   +9.99%    1天 机器人+减速器+新能源齿轮
002536   飞龙股份          51.96   +9.99%    1天 液冷服务器+机器人+汽车热管理
002771   真视通           13.87   +9.99%    1天 液冷算力+高压快充+多媒体视讯
002896   中大力德          85.62   +9.99%    1天 人形机器人+精密减速器+海外布局
002981   朝阳科技          21.47   +9.99%    1天 机器人概念+电声产品+AI眼镜
002988   豪美新材          25.44   +9.99%    1天 定增获批+机器人+液冷散热+汽车轻量化
601177   杭齿前进          14.31   +9.99%    1天 人形机器人+齿轮箱龙头+杭州国资
603051   鹿山新材          21.91   +9.99%    1天 电子皮肤+人形机器人+太空光伏+股权激励
603278   大业股份          12.11   +9.99%    1天 人形机器人+腱绳+胎圈钢丝+商业航天
603559   中通国脉           9.91   +9.99%    2天 摘帽+扭亏为盈+通信技术服务
603726   朗迪集团          35.45   +9.99%    1天 间接投资长鑫科技、甬矽电子+机器人关节+空调风叶
605028   世茂能源          24.00   +9.99%    1天 热电联产+固废处理+高股息
000975   山金国际          19.84   +9.98%    1天 黄金+业绩预增+山东国资
002090   金智科技           9.59   +9.98%    1天 电气自动化+智慧能源
002635   安洁科技          23.36   +9.98%    1天 收购苏州志烽51%股权+光模块+消费电子
603012   创力集团           8.82   +9.98%    1天 智慧矿山+煤机装备+华为合作+定增获批
603596   伯特利           27.65   +9.98%    1天 人形机器人+EMB量产+智能底盘
603730   岱美股份          13.00   +9.98%    1天 人形机器人+特斯拉+遮阳板龙头+北美扩产
002471   中超控股           6.51   +9.97%    1天 商业航天+高温合金+定增获批
002520   日发精机           7.72   +9.97%    1天 人形机器人+数控螺纹磨床+高端数控机床
603798   康普顿           15.22   +9.97%    1天 润滑油+氢能催化剂+军工认证
002292   奥飞娱乐           7.73   +9.96%    1天 半年报预增+IP经济+股份回购
002067   景兴纸业           4.20   +9.95%    1天 间接持股宇树科技+机器人概念+造纸
300680   隆盛科技          26.45   +9.89%    1天 
688165   埃夫特-U         23.26   +9.87%    1天 
300946   恒而达           45.59   +9.86%    1天 
002496   辉丰股份           2.23   +9.85%    1天 生物农业+氨氢新能源+摘帽
688375   国博电子         107.34   +9.82%    1天 
000004   国华退            0.45   +9.76%    2天 退市整理期+减亏+移动安全
300929   华骐环保          12.46   +9.68%    1天 
300926   博俊科技          19.63   +9.66%    1天 
603725   天安新材          13.90   +9.54%    1天 
688319   欧林生物          42.72   +9.54%    1天 
301018   申菱环境         117.78   +9.50%    1天 
002501   *ST利源          1.39   +5.30%    1天 重大资产重组+汽车铝型材+ST板块
002305   *ST南置          2.01   +5.24%    2天 摘帽预期+扭亏为盈+城市运营+央企
601010   ST文峰           1.61   +5.23%    2天 ST板块+回购注销+航天科技+零售
000016   *ST康佳A         2.67   +5.12%    2天 追偿1.67亿+华润保壳预期+PCB存储芯片+央企
002198   ST嘉应           3.51   +5.09%    2天 ST摘帽+中成药+创新药
600165   ST宁科           2.89   +5.09%    2天 长链二元酸+ST板块+合成生物
600239   ST云城           1.45   +5.07%    1天 
605199   ST葫芦娃          6.01   +5.07%    2天 创新药+ST摘帽预期+儿科药
000909   *ST数源          4.36   +5.06%    2天 资产整合+杭州国资+大功率充电桩
603378   *ST亚士          5.41   +5.05%    1天 ST板块+建筑涂料+超跌反弹
002193   ST如意           4.59   +5.03%    1天 ST摘帽预期+精纺呢绒+外销
002485   ST雪发           5.85   +5.03%    1天 实控人变更预期+文旅演艺+ST摘帽
601718   ST际华           1.67   +5.03%    2天 回购+ST板块+军需品+央企
600238   *ST椰岛          4.81   +5.02%    1天 ST摘帽+保健酒+一季报扭亏+海南国资
002360   ST同德           5.45   +5.01%    2天 债务重整+民爆一体化+执行终结
002872   ST天圣           5.03   +5.01%    1天 中成药集采+ST摘帽+医药研发
600265   *ST景谷         24.10   +5.01%    1天 算力租赁+协议转让+林业
600624   ST复华           3.77   +5.01%    2天 摘帽预期+医药+上海国资
600730   *ST高科         12.16   +5.01%    1天 半导体封测+教育+ST板块+国企改革
002977   *ST天箭         24.34   +5.00%    2天 股权转让+对外投资+军工电子+商业航天
600187   *ST国中          1.47   +5.00%    1天 增持+污水处理+股份回购
603557   *ST起步          4.41   +5.00%    2天 铝业转型+ST板块+儿童消费品
603822   ST嘉澳          75.18   +5.00%    2天 生物航煤+环保增塑剂+ST板块
000711   ST京蓝           5.26   +4.99%    2天 ITO靶材投产+铟资源循环+ST板块
000821   ST京机           8.41   +4.99%    2天 钙钛矿设备+机器人+ST板块+回购
002082   ST万邦          11.59   +4.98%    1天 创新药+阿尔茨海默病+ST板块
002667   *ST威领         12.43   +4.98%    2天 ST板块+碳酸锂+钨锡铅锌矿
600082   ST海泰           2.95   +4.98%    2天 ST板块+园区运营+天津国资
603828   *ST利达          4.64   +4.98%    2天 ST板块+控制权变更+光伏建筑一体化
603922   ST金鸿顺         13.50   +4.98%    1天 控制权变更预期+汽车零部件+一季报增长+ST板块
002199   *ST东晶         12.89   +4.97%    1天 ST摘帽+石英晶体元器件+碳酸锂
002650   ST加加           6.35   +4.96%    1天 资产收回+调味品+一季度扭亏+ST摘帽预期
603377   ST东时           2.96   +4.96%    2天 ST板块+预重整+实控人变更+智能驾培
603789   ST星农           6.35   +4.96%    2天 控制权变更+光伏储能+农业机械
002168   ST惠程           3.82   +4.95%    1天 生物医药+预重整+ST板块+奥利司他胶囊
002598   ST章鼓           6.99   +4.95%    1天 机器人+PCB概念+国企改革
600084   *ST尼雅          4.24   +4.95%    2天 葡萄酒+一季报增长+董事长变更+央企
600759   ST洲际           2.12   +4.95%    2天 ST板块+油气开采+控制权变更预期
002005   ST德豪           2.55   +4.94%    2天 一季报扭亏+LED封装+ST摘帽+小家电
002122   ST汇洲           2.55   +4.94%    2天 人形机器人+ST摘帽+数据服务
000078   ST海王           1.49   +4.93%    2天 摘帽预期+miRNA肿瘤早筛+医药全产业链
000639   ST西王           1.28   +4.92%    2天 高管增持+玉米油龙头+控制权变更预期
002528   *ST英飞          4.48   +4.92%    1天 预重整+智慧城市+深圳国资
002717   *ST岭南          1.07   +4.90%    1天 面值退市博弈+ST板块新规+生态文旅+中山国资
600107   *ST尔雅          6.21   +4.90%    2天 
600243   *ST海华          3.64   +4.90%    2天 摘帽预期+天然气+减速器
002109   ST兴化           2.79   +4.89%    2天 子公司复产+股东增持+煤化工+陕西国资
002822   ST中装           3.43   +4.89%    1天 申请撤销ST+物业管理+固废资源化
002175   *ST东智          2.61   +4.82%    2天 控制权变更+碳基新材料+精密数显量具
600734   *ST实达          1.74   +4.82%    1天 算力合同+智算中心+福建国资+一季报减亏
002542   *ST中岩          1.31   +4.80%    2天 保壳+低空经济+成都国资
002217   ST合力泰          1.76   +4.76%    1天 控股股东增持+电子纸+福建国资
000838   *ST发展          1.77   +4.73%    2天 重整+房地产
002726   ST龙大           1.34   +4.69%    2天 ST板块+下修转股价+猪肉
600423   *ST柳化          2.59   +4.44%    2天 
